,Crash ID,City,Commercial Motor Vehicle Flag,County,Crash Date,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,School Bus Flag,Speed Limit,CMV Vehicle Type,Contributing Factor 1,Possible Vehicle Defect 1,Vehicle Defect 1,Person Age,Person Gender,Person Injury Severity,Person Restraint Used,Person Type
0,18674968,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-01,A - SUSPECTED SERIOUS INJURY,14:49,SATURDAY,30.08917859,-95.45875665,False,65,9 - TRACTOR/SEMI TRAILER,47 - ILL (EXPLAIN IN NARRATIVE),No Vehicle Defect,No Vehicle Defect,34.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
1,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.20601218,-98.17643094,False,45,Not CMV,22 - FAILED TO CONTROL SPEED,No Vehicle Defect,No Vehicle Defect,32.0,1 - MALE,C - POSSIBLE INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
2,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.20601218,-98.17643094,False,45,Not CMV,No Contributing Factor,No Vehicle Defect,No Vehicle Defect,57.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,97 - NOT APPLICABLE,5 - DRIVER OF MOTORCYCLE TYPE VEHICLE
3,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.20601218,-98.17643094,False,45,9 - TRACTOR/SEMI TRAILER,22 - FAILED TO CONTROL SPEED,No Vehicle Defect,No Vehicle Defect,42.0,1 - MALE,B - SUSPECTED MINOR INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
4,18679166,GRAND PRAIRIE,True,TARRANT,2022-01-01,A - SUSPECTED SERIOUS INJURY,21:32,SATURDAY,32.77855464,-97.06134716,False,40,Not CMV,22 - FAILED TO CONTROL SPEED,No Vehicle Defect,No Vehicle Defect,20.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,96 - NONE,1 - DRIVER
5,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.8172329,-94.47679289,False,70,9 - TRACTOR/SEMI TRAILER,No Contributing Factor,No Vehicle Defect,No Vehicle Defect,51.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
6,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.8172329,-94.47679289,False,70,9 - TRACTOR/SEMI TRAILER,No Contributing Factor,No Vehicle Defect,No Vehicle Defect,37.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,98 - OTHER (EXPLAIN IN NARRATIVE),2 - PASSENGER/OCCUPANT
7,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.8172329,-94.47679289,False,70,Not CMV,67 - INTOXICATED - ALCOHOL,No Vehicle Defect,No Vehicle Defect,30.0,1 - MALE,K - FATAL INJURY,99 - UNKNOWN,1 - DRIVER
8,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.97312982,-102.00422397,False,60,Not CMV,22 - FAILED TO CONTROL SPEED,No Vehicle Defect,No Vehicle Defect,21.0,1 - MALE,B - SUSPECTED MINOR INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
9,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.97312982,-102.00422397,False,60,Not CMV,22 - FAILED TO CONTROL SPEED,No Vehicle Defect,No Vehicle Defect,20.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
