,Crash ID,City,Commercial Motor Vehicle Flag,County,Crash Date,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,School Bus Flag,Speed Limit,CMV Vehicle Type,Contributing Factor 1,Possible Vehicle Defect 1,Vehicle Defect 1,Person Age,Person Gender,Person Injury Severity,Person Restraint Used,Person Type
0,18674968,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-01,A - SUSPECTED SERIOUS INJURY,14:49,SATURDAY,29.85967144,-95.39782106,False,65,9 - TRACTOR/SEMI TRAILER,47 - ILL (EXPLAIN IN NARRATIVE),,,34.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
1,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.396627,-98.18088681,False,45,,22 - FAILED TO CONTROL SPEED,,,32.0,1 - MALE,C - POSSIBLE INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
2,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.396627,-98.18088681,False,45,,,,,57.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,97 - NOT APPLICABLE,5 - DRIVER OF MOTORCYCLE TYPE VEHICLE
3,18676126,PHARR,True,HIDALGO,2022-01-01,A - SUSPECTED SERIOUS INJURY,15:28,SATURDAY,26.396627,-98.18088681,False,45,9 - TRACTOR/SEMI TRAILER,22 - FAILED TO CONTROL SPEED,,,42.0,1 - MALE,B - SUSPECTED MINOR INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
4,18679166,GRAND PRAIRIE,True,TARRANT,2022-01-01,A - SUSPECTED SERIOUS INJURY,21:32,SATURDAY,32.77185236,-97.29116473,False,40,,22 - FAILED TO CONTROL SPEED,,,20.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,96 - NONE,1 - DRIVER
5,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.79797929,-94.35725239,False,70,9 - TRACTOR/SEMI TRAILER,,,,51.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
6,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.79797929,-94.35725239,False,70,9 - TRACTOR/SEMI TRAILER,,,,37.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,98 - OTHER (EXPLAIN IN NARRATIVE),2 - PASSENGER/OCCUPANT
7,18680919,OUTSIDE CITY LIMITS,True,MARION,2022-01-01,K - FATAL INJURY,03:04,SATURDAY,32.79797929,-94.35725239,False,70,,67 - INTOXICATED - ALCOHOL,,,30.0,1 - MALE,K - FATAL INJURY,99 - UNKNOWN,1 - DRIVER
8,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.86921148,-102.0315032,False,60,,22 - FAILED TO CONTROL SPEED,,,21.0,1 - MALE,B - SUSPECTED MINOR INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
9,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.86921148,-102.0315032,False,60,,22 - FAILED TO CONTROL SPEED,,,20.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
10,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.86921148,-102.0315032,False,60,,22 - FAILED TO CONTROL SPEED,,,2.0,1 - MALE,B - SUSPECTED MINOR INJURY,"4 - CHILD SEAT, FACING FORWARD",2 - PASSENGER/OCCUPANT
11,18684709,OUTSIDE CITY LIMITS,True,MIDLAND,2022-01-01,A - SUSPECTED SERIOUS INJURY,17:07,SATURDAY,31.86921148,-102.0315032,False,60,6 - SINGLE UNIT TRUCK 3 OR MORE AXLES,,,,54.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
12,18688482,OUTSIDE CITY LIMITS,True,GAINES,2022-01-01,A - SUSPECTED SERIOUS INJURY,04:33,SATURDAY,32.74074537,-102.6351246,False,70,,23 - FAILED TO DRIVE IN SINGLE LANE,,,24.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
13,18688482,OUTSIDE CITY LIMITS,True,GAINES,2022-01-01,A - SUSPECTED SERIOUS INJURY,04:33,SATURDAY,32.74074537,-102.6351246,False,70,,23 - FAILED TO DRIVE IN SINGLE LANE,,,19.0,1 - MALE,C - POSSIBLE INJURY,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
14,18688482,OUTSIDE CITY LIMITS,True,GAINES,2022-01-01,A - SUSPECTED SERIOUS INJURY,04:33,SATURDAY,32.74074537,-102.6351246,False,70,6 - SINGLE UNIT TRUCK 3 OR MORE AXLES,,,,30.0,1 - MALE,N - NOT INJURED,2 - SHOULDER BELT ONLY,1 - DRIVER
15,18693367,OUTSIDE CITY LIMITS,True,LIBERTY,2022-01-01,K - FATAL INJURY,06:52,SATURDAY,30.15153187,-94.8120925,False,65,,,,,20.0,1 - MALE,K - FATAL INJURY,99 - UNKNOWN,1 - DRIVER
16,18693367,OUTSIDE CITY LIMITS,True,LIBERTY,2022-01-01,K - FATAL INJURY,06:52,SATURDAY,30.15153187,-94.8120925,False,65,,,,,22.0,2 - FEMALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
17,18693367,OUTSIDE CITY LIMITS,True,LIBERTY,2022-01-01,K - FATAL INJURY,06:52,SATURDAY,30.15153187,-94.8120925,False,65,8 - TRUCK TRACTOR (BOBTAIL),,,,50.0,2 - FEMALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
18,18708569,OUTSIDE CITY LIMITS,True,SMITH,2022-01-01,K - FATAL INJURY,20:56,SATURDAY,32.37514553,-95.26909511,False,75,,70 - WRONG SIDE - NOT PASSING,,,36.0,1 - MALE,K - FATAL INJURY,96 - NONE,1 - DRIVER
19,18708569,OUTSIDE CITY LIMITS,True,SMITH,2022-01-01,K - FATAL INJURY,20:56,SATURDAY,32.37514553,-95.26909511,False,75,9 - TRACTOR/SEMI TRAILER,,,,24.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
20,18677918,OUTSIDE CITY LIMITS,True,UPSHUR,2022-01-03,A - SUSPECTED SERIOUS INJURY,00:5,MONDAY,32.7362827,-94.94132011,False,50,9 - TRACTOR/SEMI TRAILER,,,,44.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
21,18677918,OUTSIDE CITY LIMITS,True,UPSHUR,2022-01-03,A - SUSPECTED SERIOUS INJURY,00:5,MONDAY,32.7362827,-94.94132011,False,50,,16 - DISREGARD STOP SIGN OR LIGHT,,,25.0,1 - MALE,B - SUSPECTED MINOR INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
22,18677918,OUTSIDE CITY LIMITS,True,UPSHUR,2022-01-03,A - SUSPECTED SERIOUS INJURY,00:5,MONDAY,32.7362827,-94.94132011,False,50,,16 - DISREGARD STOP SIGN OR LIGHT,,,23.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
23,18679802,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-03,A - SUSPECTED SERIOUS INJURY,14:25,MONDAY,29.85967144,-95.39782106,False,65,9 - TRACTOR/SEMI TRAILER,22 - FAILED TO CONTROL SPEED,,,61.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
24,18679802,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-03,A - SUSPECTED SERIOUS INJURY,14:25,MONDAY,29.85967144,-95.39782106,False,65,,,,,33.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
25,18679802,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-03,A - SUSPECTED SERIOUS INJURY,14:25,MONDAY,29.85967144,-95.39782106,False,65,,,,,72.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
26,18679802,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-03,A - SUSPECTED SERIOUS INJURY,14:25,MONDAY,29.85967144,-95.39782106,False,65,,,,,70.0,2 - FEMALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
27,18679802,OUTSIDE CITY LIMITS,True,HARRIS,2022-01-03,A - SUSPECTED SERIOUS INJURY,14:25,MONDAY,29.85967144,-95.39782106,False,65,,,,,8.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
28,18680971,OUTSIDE CITY LIMITS,True,STARR,2022-01-03,A - SUSPECTED SERIOUS INJURY,15:25,MONDAY,26.56212627,-98.73834895,False,70,6 - SINGLE UNIT TRUCK 3 OR MORE AXLES,66 - TURNED WHEN UNSAFE,,,57.0,1 - MALE,C - POSSIBLE INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
29,18680971,OUTSIDE CITY LIMITS,True,STARR,2022-01-03,A - SUSPECTED SERIOUS INJURY,15:25,MONDAY,26.56212627,-98.73834895,False,70,,,,,28.0,1 - MALE,A - SUSPECTED SERIOUS INJURY,1 - SHOULDER & LAP BELT,1 - DRIVER
30,18681075,SEGUIN,True,GUADALUPE,2022-01-03,A - SUSPECTED SERIOUS INJURY,05:13,MONDAY,29.58257236,-97.94850308,False,75,9 - TRACTOR/SEMI TRAILER,,,,55.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
31,18681075,SEGUIN,True,GUADALUPE,2022-01-03,A - SUSPECTED SERIOUS INJURY,05:13,MONDAY,29.58257236,-97.94850308,False,75,,44 - FOLLOWED TOO CLOSELY,,,39.0,1 - MALE,N - NOT INJURED,1 - SHOULDER & LAP BELT,1 - DRIVER
32,18681075,SEGUIN,True,GUADALUPE,2022-01-03,A - SUSPECTED SERIOUS INJURY,05:13,MONDAY,29.58257236,-97.94850308,False,75,,44 - FOLLOWED TOO CLOSELY,,,34.0,2 - FEMALE,A - SUSPECTED SERIOUS INJURY,96 - NONE,2 - PASSENGER/OCCUPANT
33,18681075,SEGUIN,True,GUADALUPE,2022-01-03,A - SUSPECTED SERIOUS INJURY,05:13,MONDAY,29.58257236,-97.94850308,False,75,,44 - FOLLOWED TOO CLOSELY,,,11.0,2 - FEMALE,C - POSSIBLE INJURY,1 - SHOULDER & LAP BELT,2 - PASSENGER/OCCUPANT
