"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/12/2023. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 1,930 Crashes containing 5,867 Units and 6,095 Persons"

"Filters Applied to current Query:"
"Crash Year Is Equal To 2022"
""
"Crash Severity Is In K - FATAL INJURY or A - SUSPECTED SERIOUS INJURY"
"Commercial Motor Vehicle Flag Is True"


"Crash ID","City","Commercial Motor Vehicle Flag","County","Crash Date","Crash Severity","Crash Time","Day of Week","Latitude","Longitude","School Bus Flag","Speed Limit","CMV Vehicle Type","Contributing Factor 1","Possible Vehicle Defect 1","Vehicle Defect 1","Person Age","Person Gender","Person Injury Severity","Person Restraint Used","Person Type"
"18674968","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-01","A - SUSPECTED SERIOUS INJURY","1449","SATURDAY","30.08917859","-95.45875665","No","65","9 - TRACTOR/SEMI TRAILER","47 - ILL (EXPLAIN IN NARRATIVE)","No Data","No Data","34","1 - MALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18676126","PHARR","Yes","HIDALGO","2022-01-01","A - SUSPECTED SERIOUS INJURY","1528","SATURDAY","26.20601218","-98.17643094","No","45","No Data","22 - FAILED TO CONTROL SPEED","No Data","No Data","32","1 - MALE","C - POSSIBLE INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18676126","PHARR","Yes","HIDALGO","2022-01-01","A - SUSPECTED SERIOUS INJURY","1528","SATURDAY","26.20601218","-98.17643094","No","45","No Data","No Data","No Data","No Data","57","1 - MALE","A - SUSPECTED SERIOUS INJURY","97 - NOT APPLICABLE","5 - DRIVER OF MOTORCYCLE TYPE VEHICLE"
"18676126","PHARR","Yes","HIDALGO","2022-01-01","A - SUSPECTED SERIOUS INJURY","1528","SATURDAY","26.20601218","-98.17643094","No","45","9 - TRACTOR/SEMI TRAILER","22 - FAILED TO CONTROL SPEED","No Data","No Data","42","1 - MALE","B - SUSPECTED MINOR INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18679166","GRAND PRAIRIE","Yes","TARRANT","2022-01-01","A - SUSPECTED SERIOUS INJURY","2132","SATURDAY","32.77855464","-97.06134716","No","40","No Data","22 - FAILED TO CONTROL SPEED","No Data","No Data","20","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","96 - NONE","1 - DRIVER"
"18680919","OUTSIDE CITY LIMITS","Yes","MARION","2022-01-01","K - FATAL INJURY","0304","SATURDAY","32.8172329","-94.47679289","No","70","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","51","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18680919","OUTSIDE CITY LIMITS","Yes","MARION","2022-01-01","K - FATAL INJURY","0304","SATURDAY","32.8172329","-94.47679289","No","70","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","37","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","98 - OTHER (EXPLAIN IN NARRATIVE)","2 - PASSENGER/OCCUPANT"
"18680919","OUTSIDE CITY LIMITS","Yes","MARION","2022-01-01","K - FATAL INJURY","0304","SATURDAY","32.8172329","-94.47679289","No","70","No Data","67 - INTOXICATED - ALCOHOL","No Data","No Data","30","1 - MALE","K - FATAL INJURY","99 - UNKNOWN","1 - DRIVER"
"18684709","OUTSIDE CITY LIMITS","Yes","MIDLAND","2022-01-01","A - SUSPECTED SERIOUS INJURY","1707","SATURDAY","31.97312982","-102.00422397","No","60","No Data","22 - FAILED TO CONTROL SPEED","No Data","No Data","21","1 - MALE","B - SUSPECTED MINOR INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18684709","OUTSIDE CITY LIMITS","Yes","MIDLAND","2022-01-01","A - SUSPECTED SERIOUS INJURY","1707","SATURDAY","31.97312982","-102.00422397","No","60","No Data","22 - FAILED TO CONTROL SPEED","No Data","No Data","20","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18684709","OUTSIDE CITY LIMITS","Yes","MIDLAND","2022-01-01","A - SUSPECTED SERIOUS INJURY","1707","SATURDAY","31.97312982","-102.00422397","No","60","No Data","22 - FAILED TO CONTROL SPEED","No Data","No Data","2","1 - MALE","B - SUSPECTED MINOR INJURY","4 - CHILD SEAT, FACING FORWARD","2 - PASSENGER/OCCUPANT"
"18684709","OUTSIDE CITY LIMITS","Yes","MIDLAND","2022-01-01","A - SUSPECTED SERIOUS INJURY","1707","SATURDAY","31.97312982","-102.00422397","No","60","6 - SINGLE UNIT TRUCK 3 OR MORE AXLES","No Data","No Data","No Data","54","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18688482","OUTSIDE CITY LIMITS","Yes","GAINES","2022-01-01","A - SUSPECTED SERIOUS INJURY","0433","SATURDAY","32.71131649","-102.62950545","No","70","No Data","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","24","1 - MALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18688482","OUTSIDE CITY LIMITS","Yes","GAINES","2022-01-01","A - SUSPECTED SERIOUS INJURY","0433","SATURDAY","32.71131649","-102.62950545","No","70","No Data","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","19","1 - MALE","C - POSSIBLE INJURY","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18688482","OUTSIDE CITY LIMITS","Yes","GAINES","2022-01-01","A - SUSPECTED SERIOUS INJURY","0433","SATURDAY","32.71131649","-102.62950545","No","70","6 - SINGLE UNIT TRUCK 3 OR MORE AXLES","No Data","No Data","No Data","30","1 - MALE","N - NOT INJURED","2 - SHOULDER BELT ONLY","1 - DRIVER"
"18693367","OUTSIDE CITY LIMITS","Yes","LIBERTY","2022-01-01","K - FATAL INJURY","0652","SATURDAY","30.313863","-95.11340503","No","65","No Data","No Data","No Data","No Data","20","1 - MALE","K - FATAL INJURY","99 - UNKNOWN","1 - DRIVER"
"18693367","OUTSIDE CITY LIMITS","Yes","LIBERTY","2022-01-01","K - FATAL INJURY","0652","SATURDAY","30.313863","-95.11340503","No","65","No Data","No Data","No Data","No Data","22","2 - FEMALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18693367","OUTSIDE CITY LIMITS","Yes","LIBERTY","2022-01-01","K - FATAL INJURY","0652","SATURDAY","30.313863","-95.11340503","No","65","8 - TRUCK TRACTOR (BOBTAIL)","No Data","No Data","No Data","50","2 - FEMALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18708569","OUTSIDE CITY LIMITS","Yes","SMITH","2022-01-01","K - FATAL INJURY","2056","SATURDAY","32.47123641","-95.46403297","No","75","No Data","70 - WRONG SIDE - NOT PASSING","No Data","No Data","36","1 - MALE","K - FATAL INJURY","96 - NONE","1 - DRIVER"
"18708569","OUTSIDE CITY LIMITS","Yes","SMITH","2022-01-01","K - FATAL INJURY","2056","SATURDAY","32.47123641","-95.46403297","No","75","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","24","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18677918","OUTSIDE CITY LIMITS","Yes","UPSHUR","2022-01-03","A - SUSPECTED SERIOUS INJURY","0005","MONDAY","32.70989609","-94.75217438","No","50","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","44","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18677918","OUTSIDE CITY LIMITS","Yes","UPSHUR","2022-01-03","A - SUSPECTED SERIOUS INJURY","0005","MONDAY","32.70989609","-94.75217438","No","50","No Data","16 - DISREGARD STOP SIGN OR LIGHT","No Data","No Data","25","1 - MALE","B - SUSPECTED MINOR INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18677918","OUTSIDE CITY LIMITS","Yes","UPSHUR","2022-01-03","A - SUSPECTED SERIOUS INJURY","0005","MONDAY","32.70989609","-94.75217438","No","50","No Data","16 - DISREGARD STOP SIGN OR LIGHT","No Data","No Data","23","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18679802","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-03","A - SUSPECTED SERIOUS INJURY","1425","MONDAY","29.78266089","-95.11258666","No","65","9 - TRACTOR/SEMI TRAILER","22 - FAILED TO CONTROL SPEED","No Data","No Data","61","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18679802","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-03","A - SUSPECTED SERIOUS INJURY","1425","MONDAY","29.78266089","-95.11258666","No","65","No Data","No Data","No Data","No Data","33","1 - MALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18679802","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-03","A - SUSPECTED SERIOUS INJURY","1425","MONDAY","29.78266089","-95.11258666","No","65","No Data","No Data","No Data","No Data","72","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18679802","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-03","A - SUSPECTED SERIOUS INJURY","1425","MONDAY","29.78266089","-95.11258666","No","65","No Data","No Data","No Data","No Data","70","2 - FEMALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18679802","OUTSIDE CITY LIMITS","Yes","HARRIS","2022-01-03","A - SUSPECTED SERIOUS INJURY","1425","MONDAY","29.78266089","-95.11258666","No","65","No Data","No Data","No Data","No Data","8","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18680971","OUTSIDE CITY LIMITS","Yes","STARR","2022-01-03","A - SUSPECTED SERIOUS INJURY","1525","MONDAY","26.49336196","-98.87361271","No","70","6 - SINGLE UNIT TRUCK 3 OR MORE AXLES","66 - TURNED WHEN UNSAFE","No Data","No Data","57","1 - MALE","C - POSSIBLE INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18680971","OUTSIDE CITY LIMITS","Yes","STARR","2022-01-03","A - SUSPECTED SERIOUS INJURY","1525","MONDAY","26.49336196","-98.87361271","No","70","No Data","No Data","No Data","No Data","28","1 - MALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18681075","SEGUIN","Yes","GUADALUPE","2022-01-03","A - SUSPECTED SERIOUS INJURY","0513","MONDAY","29.57701885","-98.00469809","No","75","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","55","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18681075","SEGUIN","Yes","GUADALUPE","2022-01-03","A - SUSPECTED SERIOUS INJURY","0513","MONDAY","29.57701885","-98.00469809","No","75","No Data","44 - FOLLOWED TOO CLOSELY","No Data","No Data","39","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18681075","SEGUIN","Yes","GUADALUPE","2022-01-03","A - SUSPECTED SERIOUS INJURY","0513","MONDAY","29.57701885","-98.00469809","No","75","No Data","44 - FOLLOWED TOO CLOSELY","No Data","No Data","34","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","96 - NONE","2 - PASSENGER/OCCUPANT"
"18681075","SEGUIN","Yes","GUADALUPE","2022-01-03","A - SUSPECTED SERIOUS INJURY","0513","MONDAY","29.57701885","-98.00469809","No","75","No Data","44 - FOLLOWED TOO CLOSELY","No Data","No Data","11","2 - FEMALE","C - POSSIBLE INJURY","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18681075","SEGUIN","Yes","GUADALUPE","2022-01-03","A - SUSPECTED SERIOUS INJURY","0513","MONDAY","29.57701885","-98.00469809","No","75","No Data","44 - FOLLOWED TOO CLOSELY","No Data","No Data","0","2 - FEMALE","N - NOT INJURED","5 - CHILD SEAT, FACING REAR","2 - PASSENGER/OCCUPANT"
"18693430","DALLAS","Yes","DALLAS","2022-01-03","K - FATAL INJURY","0443","MONDAY","32.88112653","-96.89804158","No","40","No Data","43 - FLEEING OR EVADING POLICE","No Data","No Data","15","1 - MALE","A - SUSPECTED SERIOUS INJURY","99 - UNKNOWN","1 - DRIVER"
"18693430","DALLAS","Yes","DALLAS","2022-01-03","K - FATAL INJURY","0443","MONDAY","32.88112653","-96.89804158","No","40","No Data","43 - FLEEING OR EVADING POLICE","No Data","No Data","21","1 - MALE","K - FATAL INJURY","99 - UNKNOWN","2 - PASSENGER/OCCUPANT"
"18693430","DALLAS","Yes","DALLAS","2022-01-03","K - FATAL INJURY","0443","MONDAY","32.88112653","-96.89804158","No","40","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","42","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18694662","OUTSIDE CITY LIMITS","Yes","POTTER","2022-01-03","A - SUSPECTED SERIOUS INJURY","1058","MONDAY","35.26532506","-101.65366124","No","55","No Data","16 - DISREGARD STOP SIGN OR LIGHT","No Data","No Data","30","1 - MALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18694662","OUTSIDE CITY LIMITS","Yes","POTTER","2022-01-03","A - SUSPECTED SERIOUS INJURY","1058","MONDAY","35.26532506","-101.65366124","No","55","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","38","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18694662","OUTSIDE CITY LIMITS","Yes","POTTER","2022-01-03","A - SUSPECTED SERIOUS INJURY","1058","MONDAY","35.26532506","-101.65366124","No","55","9 - TRACTOR/SEMI TRAILER","No Data","No Data","No Data","38","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18680408","HURST","Yes","TARRANT","2022-01-04","K - FATAL INJURY","1053","TUESDAY","32.85280627","-97.1861158","No","40","2 - LIGHT TRUCK","98 - OTHER (EXPLAIN IN NARRATIVE)","No Data","No Data","51","1 - MALE","K - FATAL INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18685099","SAN ANTONIO","Yes","BEXAR","2022-01-04","A - SUSPECTED SERIOUS INJURY","1538","TUESDAY","29.44725589","-98.36073881","No","45","No Data","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","No Data","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18685099","SAN ANTONIO","Yes","BEXAR","2022-01-04","A - SUSPECTED SERIOUS INJURY","1538","TUESDAY","29.44725589","-98.36073881","No","45","No Data","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","No Data","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18685099","SAN ANTONIO","Yes","BEXAR","2022-01-04","A - SUSPECTED SERIOUS INJURY","1538","TUESDAY","29.44725589","-98.36073881","No","45","7 - TRUCK TRAILER","No Data","No Data","No Data","50","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18689711","PARIS","Yes","LAMAR","2022-01-04","K - FATAL INJURY","1147","TUESDAY","33.65027404","-95.53596284","No","30","98 - OTHER (EXPLAIN IN NARRATIVE)","98 - OTHER (EXPLAIN IN NARRATIVE)","No Data","No Data","51","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18689711","PARIS","Yes","LAMAR","2022-01-04","K - FATAL INJURY","1147","TUESDAY","33.65027404","-95.53596284","No","30","98 - OTHER (EXPLAIN IN NARRATIVE)","98 - OTHER (EXPLAIN IN NARRATIVE)","No Data","No Data","21","1 - MALE","N - NOT INJURED","97 - NOT APPLICABLE","2 - PASSENGER/OCCUPANT"
"18689711","PARIS","Yes","LAMAR","2022-01-04","K - FATAL INJURY","1147","TUESDAY","33.65027404","-95.53596284","No","30","98 - OTHER (EXPLAIN IN NARRATIVE)","98 - OTHER (EXPLAIN IN NARRATIVE)","No Data","No Data","18","1 - MALE","K - FATAL INJURY","97 - NOT APPLICABLE","2 - PASSENGER/OCCUPANT"
"18691065","OUTSIDE CITY LIMITS","Yes","MONTGOMERY","2022-01-04","A - SUSPECTED SERIOUS INJURY","1245","TUESDAY","30.20756262","-95.22718722","No","45","5 - SINGLE UNIT TRUCK 2 AXLES 6 TIRES","37 - FAILED TO YIELD RIGHT OF WAY - TURNING LEFT","No Data","No Data","31","1 - MALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18691065","OUTSIDE CITY LIMITS","Yes","MONTGOMERY","2022-01-04","A - SUSPECTED SERIOUS INJURY","1245","TUESDAY","30.20756262","-95.22718722","No","45","5 - SINGLE UNIT TRUCK 2 AXLES 6 TIRES","37 - FAILED TO YIELD RIGHT OF WAY - TURNING LEFT","No Data","No Data","55","2 - FEMALE","N - NOT INJURED","1 - SHOULDER & LAP BELT","2 - PASSENGER/OCCUPANT"
"18691065","OUTSIDE CITY LIMITS","Yes","MONTGOMERY","2022-01-04","A - SUSPECTED SERIOUS INJURY","1245","TUESDAY","30.20756262","-95.22718722","No","45","No Data","No Data","No Data","No Data","63","2 - FEMALE","A - SUSPECTED SERIOUS INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
"18699585","OUTSIDE CITY LIMITS","Yes","HARRISON","2022-01-04","K - FATAL INJURY","2057","TUESDAY","32.5900194","-94.34005072","No","75","No Data","71 - WRONG WAY - ONE WAY ROAD","No Data","No Data","76","2 - FEMALE","K - FATAL INJURY","1 - SHOULDER & LAP BELT","1 - DRIVER"
